dc d90b 0000097d 000008fc 00000000 00000fa6 00000000 00000000 00000000 00000000 00000bf8 00000000 00000000 0000143b 00000d6b 00000000 0000191e 0000176a 10f8 76 007f2519 a0:15
dc d90b 00000975 000008ea 00000000 00000f98 00000000 00000000 00000000 00000000 00000bea 00000000 00000000 00001428 00000d37 00000000 0000181a 0000175c 1100 77 007f289d a0:15
dc d90b 00000975 000008fd 00000000 00000fb4 00000000 00000000 00000000 00000000 00000c1d 00000000 00000000 00001411 00000d53 00000000 00001737 0000176a 1108 78 007f2c21 a0:15
dc d90b 00000966 000008f3 00000000 00000fa6 00000000 00000000 00000000 00000000 00000c02 00000000 00000000 0000140c 00000d53 00000000 00001828 00001760 1110 79 007f2fa5 a0:15
dc d90b 00000975 000008f7 00000000 00000f9c 00000000 00000000 00000000 00000000 00000c06 00000000 00000000 00001424 00000d58 00000000 0000180c 0000178b 1118 7a 007f3329 a0:15
dc d90b 0000097d 000008f8 00000000 00000faa 00000000 00000000 00000000 00000000 00000bfd 00000000 00000000 0000145b 00000d6b 00000000 0000183b 00001778 1120 7b 007f36ad a0:15
dc c90b 00000975 000008fd 00000000 00000f98 00000000 00000000 00000000 00000000 00000c06 00000000 00000000 00001424 00000000 00000000 00001849 0000177d 1127 7c 007f3a31 a0:15
dc c90b 0000096b 000008e1 00000000 00000f85 00000000 00000000 00000000 00000000 00000c06 00000000 00000000 00001428 00000000 00000000 000017f9 00001798 112e 7d 007f3db5 a0:15
dc d90b 00000966 000008f7 00000000 00000faf 00000000 00000000 00000000 00000000 00000bfd 00000000 00000000 00001456 00000d58 00000000 00001836 00001773 1136 7e 007f4139 a0:15
dc d90b 00000970 000008f8 00000000 00000faf 00000000 00000000 00000000 00000000 00000c39 00000000 00000000 0000142d 00000d70 00000000 000017e3 00001773 113e 7f 007f44bd a0:15
dc d90b 0000096b 000008f3 00000000 00000fc2 00000000 00000000 00000000 00000000 00000bfd 00000000 00000000 00001424 00000d66 00000000 0000181f 00001773 1146 80 007f4841 a0:15
dc d90a 00000000 000008ea 00000000 00000fa1 00000000 00000000 00000000 00000000 00000c0b 00000000 00000000 00001424 00000d4a 00000000 00001836 00001778 114d 81 007f4bc5 a0:15
